"","Polling firm/Commissioner","cita","Fieldwork date","Sample size","Turnout","PSOE","PP","Cs","UPsimbol.svg","Vox","ERC–Sobiranistes","JxCat","PNV","EHB.png","Compromís","CC–NCa","NA+","PRC","Más País.svg","CUP","Lead"
"5","NC Report/La Razón","<a href= https://www.larazon.es/espana/elecciones-10-n-encuesta-OL25599043 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> NC Report/La Razón </a>","10 Nov 2019","","","26.9","21.4","8.9","12.5","13.6","3.8","1.7","1.7","1.0","","0.7","0.5","0.2","3.0","1.0","5.5"
"6","SocioMétrica/El Español","<a href= https://www.elespanol.com/espana/20191110/psoe-vuelve-ganar-izquierdas-derechas-acercan-mayoria/443456132_0.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> SocioMétrica/El Español </a>","9–10 Nov 2019","4,000","","26.1","19.9","7.8","14.0","14.1","3.5","1.7","1.5","1.1","","0.4","0.3","0.2","3.4","1.5","6.2"
"7","Celeste-Tel/eldiario.es","<a href= https://www.eldiario.es/politica/PSOE-consigue-resultados-dependeria-independentistas_0_962054254.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Celeste-Tel/eldiario.es </a>","8–10 Nov 2019","1,100","67.8","27.4","20.8","8.5","12.9","13.5","3.6","1.8","1.7","1.1","","0.8","0.4","0.2","2.8","1.1","6.6"
"8","GAD3/RTVE–FORTA","<a href= http://www.rtve.es/noticias/20191110/psoe-ganaria-pero-pierde-apoyo-bloque-derechas-supera-izquierda-segun-sondeo-para-rtve/1989663.shtml target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GAD3/RTVE–FORTA </a>","25 Oct–10 Nov 2019","13,000","72","27.3","20.1","8.5","12.2","16.3","3.5","1.6","1.5","1.0","","0.5","0.4","0.2","2.1","1.2","7.2"
"9","GESOP/El Periòdic","<a href= https://sondeos.elperiodic.ad/sondeo-elecciones-generales-noviembre-2019-sexta-entrega.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GESOP/El Periòdic </a>","7–9 Nov 2019","903","70–72","26.7","19.4","7.9","14.3","14.9","2.6","1.4","","","","","","","2.8","1.1","7.3"
"10","ElectoPanel/Electomanía","<a href= https://electomania.es/ep8n2/ target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","7–8 Nov 2019","1,250","","27.1","20.4","7.3","13.7","15.5","3.7","1.6","1.5","1.0","","0.7","0.4","0.2","3.0","1.2","6.7"
"11","GESOP/El Periòdic","<a href= https://sondeos.elperiodic.ad/sondeo-elecciones-generales-noviembre-2019-quinta-entrega.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GESOP/El Periòdic </a>","6–8 Nov 2019","903","","26.3","19.0","7.5","14.0","15.6","2.7","1.4","","","","","","","2.9","1.1","7.3"
"12","Demoscopia Servicios/ESdiario","<a href= https://www.esdiario.com/92066645/El-traking-del-infarto-Sanchez-esta-grogui-Vox-imparable-y-Cs-toca-fondo.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> Demoscopia Servicios/ESdiario </a>","7 Nov 2019","","72.1","26.6","20.9","7.2","13.2","15.7","4.1","1.5","1.5","1.0","","0.6","0.4","0.3","2.7","1.0","5.7"
"13","ElectoPanel/Electomanía","<a href= https://electomania.es/ep8n1 target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> ElectoPanel/Electomanía </a>","6–7 Nov 2019","1,250","","27.3","20.1","7.8","13.5","15.2","3.7","1.6","1.5","1.0","","0.7","0.4","0.2","3.1","1.2","7.2"
"14","GESOP/El Periòdic","<a href= https://sondeos.elperiodic.ad/sondeo-elecciones-generales-noviembre-2019-cuarta-entrega.html target=""_blank"" rel=""noreferrer nofollow"" style=""color: black; text-decoration: underline""> GESOP/El Periòdic </a>","5–7 Nov 2019","904","","26.9","20.1","6.5","13.4","15.6","2.7","1.6","","","","","","","2.5","1.4","6.8"
