"","ENCUESTADORA/COMISIONADO","ENCUESTADORA/PUBLICA","TRABAJO CAMPO","MUESTRA","PARTICIPACION","PSOE","PP","Vox","UP","Cs","ERC-Sobiranistes","Mas Pais","JxCat","PNV","EHB","CUP","CC-NCa","BNG","NA+","PRC","VENTAJA"
"2","ElectoPanel/Electomania","<a href= https://electomania.es/ep29n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","22-27 Nov 2020","1310","","27.2","21.4","17.4","11.8","6.6","3.3","1.5","2.5","1.6","1.3","0.8","0.5","0.7","0.4","0.3","5.8"
"4","DYM/Henneo","<a href= https://www.20minutos.es/noticia/4488629/0/gobierno-acusa-gestion-coronavirus-pp-psoe/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> DYM/Henneo </a>","18-20 Nov 2020","1001","","23.6","23.5","17.2","9.8","8.9","","","","","","","","","","","0.1"
"5","ElectoPanel/Electomania","<a href= https://electomania.es/ep22n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","16-20 Nov 2020","2398","","27.2","21.1","17.0","11.7","6.4","3.4","2.5","2.7","1.5","1.3","0.7","0.5","0.7","0.4","0.2","6.1"
"6","ElectoPanel/Electomania","<a href= https://electomania.es/ep15n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","10-13 Nov 2020","1290","","26.7","20.8","17.4","11.5","6.9","3.3","2.5","2.7","1.5","1.3","0.7","0.5","0.7","0.4","0.2","5.9"
"8","CIS","<a href= http://datos.cis.es/pdf/Es3300marMT_A.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> CIS </a>","3-12 Nov 2020","3853","","30.4","18.6","13.2","11.4","9.5","3.2","1.8","1.7","1.5","0.7","0.7","0.4","0.6","0.4","","11.8"
"9","Simple Logica","<a href= https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-noviembre-2020/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Simple Logica </a>","4-11 Nov 2020","1036","63.4","29.2","20.5","15.7","11.5","5.1","","","","","","","","","","","8.7"
"10","ElectoPanel/Electomania","<a href= https://electomania.es/ep8n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","6-7 Nov 2020","1263","","26.8","20.6","17.5","11.5","7.1","3.3","2.4","2.7","1.5","1.3","0.7","0.5","0.7","0.4","0.2","6.2"
"11","NC Report/La Razon","<a href= https://www.larazon.es/espana/20201109/l3pp65zztvcfrlczkhwdufzfaq.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> NC Report/La Razon </a>","30 Oct-7 Nov 2020","1000","63.1","26.8","23.2","15.9","11.5","7.2","3.5","2.1","2.5","1.5","1.3","0.8","0.4","0.8","0.4","0.2","3.6"
"12","ElectoPanel/Electomania","<a href= https://electomania.es/ep1n20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","30-31 Oct 2020","1730","","26.9","20.0","17.6","11.6","7.4","3.3","2.3","2.7","1.4","1.3","0.7","0.5","0.7","0.4","0.2","6.9"
"13","Invymark/laSexta","<a href= https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-elecciones-y-el-pp-sube-mas-de-dos-puntos-respecto-al-10-n_202011015f9eb95f9a1c4e000164b116.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Invymark/laSexta </a>","26-30 Oct 2020","","","28.5","23.2","14.7","11.0","7.3","","","","","","","","","","","5.3"
"14","DYM/Henneo","<a href= https://www.20minutos.es/noticia/4430577/0/pp-primera-fuerza-mocion-gobernar-vox-cs-encuesta-dym/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> DYM/Henneo </a>","22-23 Oct 2020","1006","","25.0","24.5","16.6","10.3","7.8","","","","","","","","","","","0.5"
"15","Sigma Dos/El Mundo","<a href= https://www.elmundo.es/espana/2020/10/24/5f9481f2fdddff74498b4625.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Sigma Dos/El Mundo </a>","22-23 Oct 2020","1000","","29.3","24.0","14.9","11.8","6.8","3.0","1.0","2.0","1.9","","","","","","","5.3"
"16","Hamalgama Metrica/OKDiario","<a href= https://okdiario.com/espana/pp-pierde-11-escanos-respecto-mayo-queda-100-psoe-lidera-109-vox-sube-58-6324174 target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> Hamalgama Metrica/OKDiario </a>","21-23 Oct 2020","1000","","26.9","23.1","15.7","12.6","6.1","3.6","","","","","","","","0.4","","3.8"
"17","ElectoPanel/Electomania","<a href= https://electomania.es/ep22o20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","19-22 Oct 2020","4772","","27.0","20.2","17.4","11.6","7.5","3.3","2.3","2.6","1.4","1.3","0.7","0.5","0.6","0.4","0.2","6.8"
"19","SocioMetrica/El Espanol","<a href= https://www.elespanol.com/espana/politica/20201018/repunte-vox-pp-sanchez-sondeo-publica-espanol/529197669_0.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> SocioMetrica/El Espanol </a>","15-17 Oct 2020","2103","","26.6","22.8","16.3","10.5","7.1","3.2","2.5","3.0","1.8","1.3","","0.4","0.7","0.4","0.3","3.8"
"20","NC Report/La Razon","<a href= https://www.larazon.es/espana/20201018/xslzb4tpajh5vne6jm57jz37fy.html target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> NC Report/La Razon </a>","13-17 Oct 2020","1000","62.6","27.0","23.6","15.6","11.4","6.3","3.4","","2.6","1.5","1.2","","","","","","3.4"
"21","ElectoPanel/Electomania","<a href= https://electomania.es/ep18o20/ target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> ElectoPanel/Electomania </a>","12-16 Oct 2020","1450","","27.0","20.4","17.0","11.6","7.7","3.3","2.3","2.7","1.5","1.3","0.7","0.5","0.7","0.4","0.2","6.6"
"22","GIPEyOP","<a href= https://www.uv.es/pavia/Informe_GIPEyOP_encuesta_COVID_octubre.pdf target=""_blank"" rel=""noreferrer nofollow"" style="" color:#222222""> GIPEyOP </a>","23 Sep-14 Oct 2020","1955","59.4","21.0","17.4","19.7","14.7","5.5","3.7","4.1","3.1","1.8","1.6","2.1","0.5","1.1","0.1","","1.3"
